,ID,Ime plaze,Datum,Vrijeme uzorkovanja,Slanost,Temperatura mora,EC
0,6066,Preluk - zapad,13/05/2009,9:30,34.78,16.3,10
1,6065,Preluk - sredina,13/05/2009,9:31,35.36,16.3,0
2,6064,Preluk - istok,13/05/2009,9:34,35.34,16.5,2
3,6063,Bivio - Kostanj-plaža za invalide,13/05/2009,9:41,35.27,16.5,1
4,6062,Bivio - Rekreacijski centar,13/05/2009,9:45,35.1,16.7,5
5,6061,Bivio skalete,13/05/2009,9:50,34.58,17.6,0
6,6060,Bivio plaža,13/05/2009,9:53,34.87,17.7,1
7,6059,Bivio - Dom umirovljenika,13/05/2009,9:57,34.85,17.4,0
8,6058,Kantrida - Djecja bolnica,13/05/2009,10:00,34.87,17.3,5
9,6057,Kantrida - bazen istok,13/05/2009,10:06,35.0,17.5,1
10,6056,Kantrida - Vila Nora,13/05/2009,10:10,34.4,18.1,4
11,6053,Kantrida - zapad,13/05/2009,10:13,28.64,18.1,70
12,6054,Kantrida - istok,13/05/2009,10:15,28.45,15.8,130
13,6052,Kantrida - Rekreacijski centar 3. Maj,13/05/2009,10:20,18.24,15.8,150
14,6051,Kupalište Hotela Jadran,13/05/2009,10:40,28.43,17.4,0
15,6050,Sablicevo,13/05/2009,10:43,28.36,17.6,15
16,6263,Glavanovo zapad,13/05/2009,10:47,29.09,14.5,2
17,6264,Glavanovo istok,13/05/2009,10:48,28.01,14.8,1
18,6047,Ružicevo,13/05/2009,10:51,32.96,18.2,0
19,6046,Grcevo,13/05/2009,10:53,31.8,18.2,2
20,6045,Kostrena - Žurkovo,13/05/2009,10:56,30.44,18.2,4
21,6044,Kostrena - Ronilacki klub,13/05/2009,10:59,30.51,18.3,0
22,6043,Kostrena - uvala Svežanj,13/05/2009,11:00,28.99,18.4,0
23,6042,Kostrena - Stara voda,13/05/2009,11:05,30.51,18.1,0
24,6066,Preluk - zapad,26/05/2009,8:45,34.9,20.3,0
25,6065,Preluk - sredina,26/05/2009,8:48,34.64,20.5,0
26,6064,Preluk - istok,26/05/2009,8:51,34.81,21.6,0
27,6063,Bivio - Kostanj-plaža za invalide,26/05/2009,8:54,34.71,21.6,2
28,6062,Bivio - Rekreacijski centar,26/05/2009,8:57,34.68,21.3,4
29,6061,Bivio skalete,26/05/2009,8:59,27.8,21.3,18
30,6060,Bivio plaža,26/05/2009,9:03,31.51,21.3,6
31,6059,Bivio - Dom umirovljenika,26/05/2009,9:05,32.14,22.0,5
32,6058,Kantrida - Djecja bolnica,26/05/2009,9:07,30.49,22.0,3
33,6057,Kantrida - bazen istok,26/05/2009,9:10,32.13,22.0,9
34,6056,Kantrida - Vila Nora,26/05/2009,9:15,31.83,22.8,5
35,6053,Kantrida - zapad,26/05/2009,9:23,29.76,22.9,8
36,6054,Kantrida - istok,26/05/2009,9:30,33.5,22.8,4
37,6052,Kantrida - Rekreacijski centar 3. Maj,26/05/2009,9:40,24.56,17.01,60
38,6051,Kupalište Hotela Jadran,26/05/2009,9:50,32.2,21.5,0
39,6050,Sablicevo,26/05/2009,10:00,29.91,22.0,1
40,6263,Glavanovo zapad,26/05/2009,10:03,30.58,22.0,0
41,6264,Glavanovo istok,26/05/2009,10:05,30.9,21.8,0
42,6047,Ružicevo,26/05/2009,10:08,30.65,21.8,0
43,6046,Grcevo,26/05/2009,10:12,30.19,22.8,0
44,6045,Kostrena - Žurkovo,26/05/2009,10:20,29.27,22.8,4
45,6044,Kostrena - Ronilacki klub,26/05/2009,10:22,33.21,22.7,0
46,6043,Kostrena - uvala Svežanj,26/05/2009,10:28,33.16,22.9,0
47,6042,Kostrena - Stara voda,26/05/2009,10:35,30.93,22.1,0
48,6066,Preluk - zapad,9/6/2009,9:00,34.85,19.0,2
49,6065,Preluk - sredina,9/6/2009,9:03,34.8,19.0,15
50,6064,Preluk - istok,9/6/2009,9:06,34.83,19.0,12
51,6063,Bivio - Kostanj-plaža za invalide,9/6/2009,9:09,34.82,19.5,0
52,6062,Bivio - Rekreacijski centar,9/6/2009,9:12,34.52,18.5,0
53,6061,Bivio skalete,9/6/2009,9:15,31.8,19.0,13
54,6060,Bivio plaža,9/6/2009,9:21,33.43,18.0,10
55,6059,Bivio - Dom umirovljenika,9/6/2009,9:26,33.77,18.5,10
56,6058,Kantrida - Djecja bolnica,9/6/2009,9:27,30.63,19.0,13
57,6057,Kantrida - bazen istok,9/6/2009,9:30,32.58,19.0,3
58,6056,Kantrida - Vila Nora,9/6/2009,9:32,32.64,18.5,2
59,6053,Kantrida - zapad,9/6/2009,9:40,27.15,18.5,20
60,6054,Kantrida - istok,9/6/2009,9:42,20.01,18.0,260
61,6052,Kantrida - Rekreacijski centar 3. Maj,9/6/2009,9:45,22.29,15.0,180
62,6051,Kupalište Hotela Jadran,9/6/2009,10:00,31.45,19.0,2
63,6050,Sablicevo,9/6/2009,10:03,28.45,19.0,13
64,6263,Glavanovo zapad,9/6/2009,10:06,24.28,18.5,1
65,6264,Glavanovo istok,9/6/2009,10:09,30.29,18.5,4
66,6047,Ružicevo,9/6/2009,10:12,33.52,18.5,0
67,6046,Grcevo,9/6/2009,10:15,31.96,18.5,0
68,6045,Kostrena - Žurkovo,9/6/2009,10:18,32.53,18.5,2
69,6044,Kostrena - Ronilacki klub,9/6/2009,10:25,34.32,19.0,0
70,6043,Kostrena - uvala Svežanj,9/6/2009,10:30,34.05,19.0,0
71,6042,Kostrena - Stara voda,9/6/2009,10:50,33.3,19.0,0
72,6066,Preluk - zapad,24/06/2009,8:40,36.36,18.5,8
73,6065,Preluk - sredina,24/06/2009,8:43,36.47,18.0,11
74,6064,Preluk - istok,24/06/2009,8:45,36.6,18.0,0
75,6063,Bivio - Kostanj-plaža za invalide,24/06/2009,8:47,36.51,19.0,5
76,6062,Bivio - Rekreacijski centar,24/06/2009,8:49,36.58,19.0,0
77,6061,Bivio skalete,24/06/2009,8:52,36.5,19.0,0
78,6060,Bivio plaža,24/06/2009,8:55,36.53,19.5,0
79,6059,Bivio - Dom umirovljenika,24/06/2009,8:58,36.63,19.5,0
80,6058,Kantrida - Djecja bolnica,24/06/2009,9:00,36.64,19.5,4
81,6057,Kantrida - bazen istok,24/06/2009,9:02,36.25,19.5,25
82,6056,Kantrida - Vila Nora,24/06/2009,9:04,36.39,19.0,12
83,6053,Kantrida - zapad,24/06/2009,9:10,36.32,19.0,5
84,6054,Kantrida - istok,24/06/2009,9:13,36.24,19.0,10
85,6052,Kantrida - Rekreacijski centar 3. Maj,24/06/2009,9:16,33.34,19.0,95
86,6051,Kupalište Hotela Jadran,24/06/2009,9:33,35.93,20.0,5
87,6050,Sablicevo,24/06/2009,9:35,34.48,18.0,0
88,6263,Glavanovo zapad,24/06/2009,9:37,35.53,19.0,1
89,6264,Glavanovo istok,24/06/2009,9:39,34.93,22.0,5
90,6047,Ružicevo,24/06/2009,9:42,35.78,19.5,0
91,6046,Grcevo,24/06/2009,9:44,35.59,19.0,0
92,6045,Kostrena - Žurkovo,24/06/2009,9:48,35.77,19.5,9
93,6044,Kostrena - Ronilacki klub,24/06/2009,9:52,36.44,20.0,0
94,6043,Kostrena - uvala Svežanj,24/06/2009,9:55,36.32,20.0,0
95,6042,Kostrena - Stara voda,24/06/2009,9:58,36.39,20.0,0
96,6066,Preluk - zapad,8/7/2009,8:24,34.69,23.0,15
97,6065,Preluk - sredina,8/7/2009,8:30,35.24,23.0,7
98,6064,Preluk - istok,8/7/2009,8:33,34.92,23.0,7
